#  frequency dependent IMAGINARY DIELECTRIC FUNCTION (independent particle, no local field effects)
#     E(ev)      X         Y         Z        XY        YZ        ZX
#  --------------------------------------------------------------------------------------
   14.748784    0.920967    0.920967    0.920967   -0.000000   -0.000000    0.000000
   14.792419    0.912036    0.912036    0.912036   -0.000000   -0.000000    0.000000
   14.836055    0.903040    0.903040    0.903040   -0.000000   -0.000000   -0.000000
   14.879690    0.894391    0.894391    0.894391   -0.000000   -0.000000   -0.000000
   14.923326    0.886500    0.886500    0.886500   -0.000000   -0.000000   -0.000000
   14.966961    0.879716    0.879716    0.879716   -0.000000   -0.000000   -0.000000
   15.010597    0.874180    0.874180    0.874180   -0.000000   -0.000000   -0.000000
   15.054232    0.869718    0.869718    0.869718   -0.000000   -0.000000   -0.000000
   15.097868    0.865806    0.865806    0.865806   -0.000000   -0.000000   -0.000000
   15.141503    0.861661    0.861661    0.861661   -0.000000   -0.000000   -0.000000
   15.185138    0.856430    0.856430    0.856430   -0.000000    0.000000   -0.000000
   15.228774    0.849406    0.849406    0.849406   -0.000000    0.000000   -0.000000
   15.272409    0.840224    0.840224    0.840224    0.000000    0.000000   -0.000000
   15.316045    0.828983    0.828983    0.828983    0.000000    0.000000   -0.000000
   15.359680    0.816265    0.816265    0.816265    0.000000    0.000000   -0.000000
   15.403316    0.803026    0.803026    0.803026    0.000000    0.000000   -0.000000
   15.446951    0.790362    0.790362    0.790362    0.000000    0.000000   -0.000000
   15.490587    0.779216    0.779216    0.779216    0.000000    0.000000   -0.000000
   15.534222    0.770077    0.770077    0.770077    0.000000    0.000000   -0.000000
   15.577858    0.762810    0.762810    0.762810    0.000000    0.000000   -0.000000
   15.621493    0.756666    0.756666    0.756666    0.000000    0.000000   -0.000000
